timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1613640886104,1471,https://rswapplication2.eu-west.philips-healthsuite.com/#/home/dashboard,200,OK,Thread Group 1-1,text,true,,5518,500,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/#/home/dashboard,1462,0,1242
1613640887663,171,https://rswapplication2.eu-west.philips-healthsuite.com/supportedModalities/null.do,200,OK,Thread Group 1-1,text,true,,5387,526,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/supportedModalities/null.do,170,0,0
1613640887837,202,https://rswapplication2.eu-west.philips-healthsuite.com/readConfig,200,OK,Thread Group 1-1,text,true,,5369,473,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/readConfig,200,0,0
1613640888045,187,https://rswapplication2.eu-west.philips-healthsuite.com/usersComponent.do,200,OK,Thread Group 1-1,text,true,,5372,480,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/usersComponent.do,187,0,0
1613640888240,179,https://rswapplication2.eu-west.philips-healthsuite.com/fetchPlotsForDashboard.do?stateLoc=RMW,200,OK,Thread Group 1-1,text,true,,5407,501,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/fetchPlotsForDashboard.do?stateLoc=RMW,179,0,0
1613640888423,177,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboard.html,200,OK,Thread Group 1-1,text,true,,5395,493,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboard.html,177,0,0
1613640888606,172,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Common/header.jsp,200,OK,Thread Group 1-1,text,true,,5388,486,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Common/header.jsp,171,0,0
1613640888784,168,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Common/footer.html,200,OK,Thread Group 1-1,text,true,,5393,487,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Common/footer.html,167,0,0
1613640888957,177,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Common/leftpane.html,200,OK,Thread Group 1-1,text,true,,5395,489,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Common/leftpane.html,176,0,0
1613640889138,165,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboardGrid.html,200,OK,Thread Group 1-1,text,true,,5403,497,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboardGrid.html,165,0,0
1613640889305,168,https://rswapplication2.eu-west.philips-healthsuite.com/GlobalStatsData.do,200,OK,Thread Group 1-1,text,true,,5377,528,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/GlobalStatsData.do,168,0,0
1613640889475,161,https://rswapplication2.eu-west.philips-healthsuite.com/Script/App/dashboard-resize.js?_=1613565830712,200,OK,Thread Group 1-1,text,true,,5421,612,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/Script/App/dashboard-resize.js?_=1613565830712,160,0,0
1613640889637,168,https://rswapplication2.eu-west.philips-healthsuite.com/getMaxTabsOpened.do,200,OK,Thread Group 1-1,text,true,,5378,482,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/getMaxTabsOpened.do,168,0,0
1613640889810,178,https://rswapplication2.eu-west.philips-healthsuite.com/DashboardData.do?version=1613565831619,200,OK,Thread Group 1-1,text,true,,5407,501,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/DashboardData.do?version=1613565831619,177,0,0
1613640889993,167,https://rswapplication2.eu-west.philips-healthsuite.com/LocationDataFromDB.do,200,OK,Thread Group 1-1,text,true,,5376,484,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/LocationDataFromDB.do,167,0,0
1613640886025,3911,Launch RMW,200,"Number of samples in transaction : 15, number of failing samples : 0",Thread Group 1-1,,true,,80986,7539,1,1,null,3894,224,1242
1613640890162,176,https://rswapplication2.eu-west.philips-healthsuite.com/systemlock/logout/false/vinayak.naik.do,200,OK,Thread Group 1-1,text,true,,5424,586,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/systemlock/logout/false/vinayak.naik.do,176,0,0
1613640890345,164,https://rswapplication2.eu-west.philips-healthsuite.com/SD/views/SystemDashlanding.html,200,OK,Thread Group 1-1,text,true,,5396,494,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/SD/views/SystemDashlanding.html,164,0,0
1613640890510,180,https://rswapplication2.eu-west.philips-healthsuite.com/SD/views/sysDashboardGrid.html,200,OK,Thread Group 1-1,text,true,,5399,493,1,1,https://rswapplication2.eu-west.philips-healthsuite.com/SD/views/sysDashboardGrid.html,180,0,0
